severity,code,sheet,row,project,client,field,message,amount
error,EMPTY_PROJECT,bez_ryb_NK,300,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,300,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,300,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,301,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,301,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,301,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,302,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,302,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,302,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,303,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,303,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,303,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,304,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,304,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,304,,,,Некорректное «Осталось получить»,
error,EMPTY_DDS,bez_ryb_NK,305,ЖК Курортный,,,Пустая статья ДДС,
error,EMPTY_PROJECT,bez_ryb_NK,306,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,306,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,306,,,,Некорректное «Осталось получить»,
warn,DEBT_NO_PLAN_DATE,Uchet_sdelok,2,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1248777.58
warn,PLACEHOLDER_DATE,Uchet_sdelok,2,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,Uchet_sdelok,3,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1077308.12
warn,PLACEHOLDER_DATE,Uchet_sdelok,3,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,6,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,7,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,8,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,9,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,10,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,Uchet_sdelok,15,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,572356.11
warn,PLACEHOLDER_DATE,Uchet_sdelok,15,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,Uchet_sdelok,16,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,395012.88
warn,PLACEHOLDER_DATE,Uchet_sdelok,19,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,20,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,21,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,22,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,23,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,24,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,43,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,44,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
