"","Статья ДДС","ИТОГО, реализация за минуоом штрафа","Дата планового поступления ДС","месяц планвого поступления  ДС"
"","Поступление Клининг (ОД)","1 129 676,89","05.05.2026","5"
"","Поступление Клининг (ОД)","1 176 625,45","05.05.2026","5"
"","Поступление Клининг (ОД)","677 663,74","16.04.2026","4"
"","Поступление Клининг (ОД)","636 310,74","16.04.2026","4"
"","Поступление Клининг (ОД)","585 952,74","16.04.2026","4"
"","Поступление Клининг (ОД)","335 188,08","24.04.2026","4"
"","Поступление Клининг (ОД)","346 086,21","24.04.2026","4"
"","Поступление Клининг (ОД)","425 589,99","16.04.2026","4"
"","Поступление Клининг (ОД)","386 661,24","16.04.2026","4"
"","Поступление Клининг (ОД)","445 691,93","13.05.2026","5"
"","Поступление Клининг (ОД)","407 255,33","05.05.2026","5"
"","Поступление Клининг (ОД)","822 304,85","05.05.2026","5"
"","Поступление Клининг (ДУ)","578 745,61","13.05.2026","5"
"","Поступление Клининг (ОД)","2 090 893,11","21.05.2026","5"
"","Поступление Клининг (ОД)","903 397,19","21.05.2026","5"
"","Поступление Клининг (ОД)","262 988,48","21.05.2026","5"
"","Поступление Клининг (ОД)","595 870,35","28.05.2026","5"
"","Поступление Клининг (ОД)","1 248 777,58","",""
"","Поступление Клининг (ОД)","1 077 308,12","",""
"","Поступление Клининг (ОД)","946 478,81","16.06.2026","6"
"","Поступление Клининг (ОД)","677 663,74","03.06.2026","6"
"","Поступление Клининг (ОД)","713 043,88","03.06.2026","6"
"","Поступление Клининг (ОД)","459 100,14","03.06.2026","6"
"","Поступление Клининг (ОД)","335 188,08","03.06.2026","6"
"","Поступление Клининг (ОД)","287 048,06","03.06.2026","6"
"","Поступление Клининг (ОД)","425 589,99","14.05.2026","5"
"","Поступление Клининг (ОД)","228 370,58","14.05.2026","5"
"","Поступление Клининг (ДУ)","313 197,80","13.05.2026","5"
"","Поступление Клининг (ОД)","383 352,69","03.06.2026","6"
"","Поступление Клининг (ОД)","407 255,33","14.05.2026","5"
"","Поступление Клининг (ОД)","461 430,77","14.05.2026","5"
"","Поступление Клининг (ДУ)","578 745,61","14.05.2026","5"
"","Поступление Клининг (ОД)","317 241,26","03.06.2026","6"
"","Поступление Клининг (снег)","25 200,00","28.05.2026","5"
"","Поступление Клининг (ОД)","1 732 090,24","14.06.2026","6"
"","Поступление Клининг (ОД)","749 636,00","14.06.2026","6"
"","Поступление Клининг (ОД)","218 229,04","14.06.2026","6"
"","Поступление Клининг (ОД)","428 419,88","14.05.2026","5"
"","Поступление Клининг (ОД)","572 356,11","",""
"","Поступление Клининг (ОД)","395 012,88","",""
"","Поступление Клининг (ОД)","347 042,23","18.06.2026","6"
"","Поступление Клининг (ОД)","677 663,74","18.06.2026","6"
"","Поступление Клининг (ОД)","713 043,88","18.06.2026","6"
"","Поступление Клининг (ОД)","459 100,14","18.06.2026","6"
"","Поступление Клининг (ОД)","335 188,08","18.06.2026","6"
"","Поступление Клининг (ОД)","287 048,06","18.06.2026","6"
"","Поступление Клининг (ОД)","425 589,99","18.06.2026","6"
"","Поступление Клининг (ОД)","228 370,58","18.06.2026","6"
"","Поступление Клининг (ОД)","351 013,43","18.06.2026","6"
"","Поступление Клининг (ОД)","487 792,21","18.06.2026","6"
"","Поступление Клининг (ОД)","461 430,77","18.06.2026","6"
"","Поступление Клининг (ДУ)","594 044,50","18.06.2026","6"
"","Поступление Клининг (ДУ)","92 116,68","18.06.2026","6"
"","Поступление Клининг (ОД)","853 047,00","14.06.2026","6"
"","Поступление Клининг (ОД)","87 248,14","14.06.2026","6"
"","Поступление Клининг (ОД)","529 606,78","14.06.2026","6"
"","Поступление Клининг (ОД)","1 732 090,24","15.07.2026","7"
"","Поступление Клининг (ОД)","749 636,00","15.07.2026","7"
"","Поступление Клининг (ОД)","218 229,04","15.07.2026","7"
"","Поступление Клининг (ОД)","529 606,70","15.07.2026","7"
"","Поступление Клининг (ОД)","1 599 464,23","30.06.2026","6"
"","Поступление Клининг (ОД)","897 679,06","15.07.2026","7"
"","Поступление Клининг (ОД)","194 910,94","15.07.2026","7"
"","Поступление Клининг (ОД)","50 806,45","15.07.2026","7"
"","Поступление Клининг (ОД)","373 920,60","15.07.2026","7"
"","Поступление Клининг (ОД)","677 663,74","19.07.2026","7"
"","Поступление Клининг (ОД)","713 043,88","19.07.2026","7"
"","Поступление Клининг (ОД)","459 100,14","19.07.2026","7"
"","Поступление Клининг (ОД)","335 188,08","19.07.2026","7"
"","Поступление Клининг (ОД)","287 048,06","19.07.2026","7"
"","Поступление Клининг (ОД)","425 589,99","19.07.2026","7"
"","Поступление Клининг (ОД)","228 370,58","19.07.2026","7"
"","Поступление Клининг (ОД)","412 706,09","19.07.2026","7"
"","Поступление Клининг (ОД)","1 732 090,24","14.08.2026","8"
"","Поступление Клининг (ОД)","749 636,00","14.08.2026","8"
"","Поступление Клининг (ОД)","218 229,04","14.08.2026","8"
"","Поступление Клининг (ОД)","529 606,70","14.08.2026","8"
"","Поступление Клининг (ОД)","1 599 464,23","30.07.2026","7"
"","Поступление Клининг (ОД)","897 679,06","14.08.2026","8"
"","Поступление Клининг (ОД)","373 920,60","14.08.2026","8"
"","Поступление Клининг (ОД)","175 000,00","14.08.2026","8"
"","Поступление Клининг (ОД)","671 360,00","14.08.2026","8"
"","Поступление Клининг (ОД)","677 663,74","18.08.2026","8"
"","Поступление Клининг (ОД)","713 043,88","18.08.2026","8"
"","Поступление Клининг (ОД)","459 100,14","18.08.2026","8"
"","Поступление Клининг (ОД)","335 188,08","18.08.2026","8"
"","Поступление Клининг (ОД)","287 048,06","18.08.2026","8"
"","Поступление Клининг (ОД)","425 589,99","18.08.2026","8"
"","Поступление Клининг (ОД)","228 370,58","18.08.2026","8"
"","Поступление Клининг (ОД)","407 255,33","19.07.2026","7"
"","Поступление Клининг (ОД)","461 430,77","19.07.2026","7"
"","Поступление Клининг (ДУ)","578 745,61","19.07.2026","7"
"","Поступление Клининг (ДУ)","299 825,59","19.07.2026","7"
"","Поступление Клининг (ОД)","1 732 090,24","14.09.2026","9"
"","Поступление Клининг (ОД)","749 636,00","14.09.2026","9"
